Square Enix,Crisis Core: Final Fantasy VII,PSP
Harmonix Music Systems,Dance Central,X360
Team Bondi,L.A. Noire,PS3
Namco,Ace Combat 04: Shattered Skies,PS2
Nintendo,Animal Crossing,GC
EA Canada,FIFA Soccer 08,PS2
1st Playable Productions,Club Penguin: Elite Penguin Force,DS
Neversoft Entertainment,Spider-Man,PS
Nd Cube,Mario Party 9,Wii
EA Canada,Need for Speed III: Hot Pursuit,PS
"Dimps Corporation, Sonic Team",Sonic Rush,DS
Nintendo,Rhythm Heaven,DS
Obsidian Entertainment,Fallout: New Vegas,PS3
Indies Zero,Personal Trainer: Cooking,DS
4J Studios,The Elder Scrolls IV: Oblivion,PS3
Nintendo,The Legend of Zelda: A Link Between Worlds,3DS
Capcom,Resident Evil 6,PS3
BioWare,Mass Effect 2,X360
Dimps Corporation,Dragon Ball Z: Budokai,PS2
EA Sports,Madden NFL 2002,PS2
Maxis,The Sims: Vacation,PC
Traveller's Tales,LEGO Batman: The Videogame,Wii
Nintendo,Animal Crossing: Happy Home Designer,3DS
Maxis,The Sims 4,PC
Gearbox Software,Borderlands 2,X360
TT Fusion,LEGO Batman: The Videogame,DS
"Luxoflux, Inc.",Kung Fu Panda,X360
BioWare,Mass Effect 3,X360
Quantic Dream,Heavy Rain,PS3
Volition Inc.,Saints Row 2,X360
Ubisoft Montreal,Tom Clancy's Splinter Cell,XB
EA Canada,FIFA 14,PS4
Guerrilla,Killzone 2,PS3
Ubisoft Montreal,Far Cry 3,X360
Junction Point,Epic Mickey,Wii
Visual Concepts,NBA 2K13,X360
"Spike, Namco Bandai Games",Dragon Ball Z: Budokai Tenkaichi 3,PS2
Maxis,The Sims: Livin Large,PC
KCET,World Soccer Winning Eleven 6 International,PS2
Capcom,Devil May Cry,PS2
"LucasArts, BioWare",Star Wars: The Old Republic,PC
Monolith Productions,Middle-Earth: Shadow of Mordor,PS4
Sonic Team,Sonic Heroes,PS2
Io Interactive,Hitman 2: Silent Assassin,PS2
Respawn Entertainment,Titanfall,XOne
EA DICE,Battlefield: Bad Company 2,PS3
Zipper Interactive,SOCOM II: U.S. Navy SEALs,PS2
Mass Media,Pac-Man Collection,GBA
Capcom,Street Fighter IV,X360
Sucker Punch,inFAMOUS,PS3
HAL Labs,Kirby Super Star Ultra,DS
Infinity Ward,Call of Duty: Ghosts,XOne
EA Sports,FIFA 15,X360
BioWare,Mass Effect,X360
Sonic Team,Sonic Mega Collection Plus,PS2
KCET,World Soccer Winning Eleven 7 International,PS2
Sumo Digital,Sega Superstars Tennis,X360
Clap Hanz,Hot Shots Golf 3,PS2
OfficeCreate,Cooking Mama: Cook Off,Wii
Spark Unlimited,Call of Duty: Finest Hour,PS2
Intelligent Systems,WarioWare: Smooth Moves,Wii
Ubisoft,Imagine: Babyz,DS
EA Tiburon,Madden NFL 13,X360
Bethesda Softworks,The Elder Scrolls III: Morrowind,XB
Ubisoft,Assassin's Creed IV: Black Flag,PS4
NetherRealm Studios,Mortal Kombat,PS3
EA Tiburon,Madden NFL 10,X360
"Irrational Games, 2K Marin",BioShock,X360
Retro Studios,Metroid Prime,GC
Ubisoft Montreal,Assassin's Creed: Brotherhood,PS3
Vicarious Visions,Finding Nemo,GBA
"Majesco Games, Majesco",Zumba Fitness 2,Wii
"EA DICE, Danger Close",Medal of Honor,PS3
Virtual Toys,Imagine: Fashion Designer,DS
Sucker Punch,inFAMOUS: Second Son,PS4
NuFX,NBA Street,PS2
Naughty Dog,Jak II,PS2
Criterion Games,Need for Speed: Hot Pursuit,PS3
Toys for Bob,Skylanders: Spyro's Adventure,Wii
EA DICE,Battlefield 3,PC
"Warner Bros. Interactive Entertainment, NetherRealm Studios",Mortal Kombat X,PS4
Edge of Reality,The Sims,PS2
Guerrilla,Killzone 3,PS3
LucasArts,Star Wars: The Force Unleashed,X360
Artoon,Yoshi's Island DS,DS
Volition Inc.,Saints Row: The Third,X360
Namco Bandai Games,Tekken 6,PS3
Sonic Team,Sonic and the Secret Rings,Wii
EA Sports,FIFA 16,PS3
Capcom,The Legend of Zelda: A Link to the Past,GBA
Capcom,Onimusha: Warlords,PS2
Team Bondi,L.A. Noire,X360
Treyarch,Call of Duty 3,X360
EA Tiburon,Madden NFL 12,X360
Traveller's Tales,LEGO Star Wars II: The Original Trilogy,PS2
Guerrilla,Killzone: Shadow Fall,PS4
EA Tiburon,Madden NFL 11,X360
Criterion Games,Burnout 3: Takedown,PS2
Nintendo,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS
Level 5,Professor Layton and the Last Specter,DS
Treyarch,Call Of Duty 2: Big Red One,PS2
Dreamworks Interactive,Medal of Honor,PS
Big Blue Box,Fable,XB
Neversoft Entertainment,Guitar Hero: World Tour,X360
"EA Sports, EA Vancouver",FIFA 17,XOne
DC Studios,Hannah Montana,DS
